family,week_start,weekly_sales,store_nbr,promo_days,promo_avg,n_days,city,state,type,cluster,is_complete_week,year,month,quarter,weekofyear,lag_1,lag_2,lag_4,lag_8,roll_mean_4,roll_std_4,roll_mean_8,roll_std_8,roll_mean_12,roll_std_12,cv_8,abc_class,service_level_target
AUTOMOTIVE,2012-12-31,1287.0,27.5,0.0,0.0,6.0,Quito,Pichincha,D,8.481481481481481,0.0,2012,12,4,1,,,,,,,,,,,,C,0.9
AUTOMOTIVE,2013-01-07,1514.0,27.5,0.0,0.0,7.0,Quito,Pichincha,D,8.481481481481481,1.0,2013,1,1,2,1287.0,,,,,,,,,,,C,0.9
AUTOMOTIVE,2013-01-14,1511.0,27.5,0.0,0.0,7.0,Quito,Pichincha,D,8.481481481481481,1.0,2013,1,1,3,1514.0,1287.0,,,,,,,,,,C,0.9
AUTOMOTIVE,2013-01-21,1517.0,27.5,0.0,0.0,7.0,Quito,Pichincha,D,8.481481481481481,1.0,2013,1,1,4,1511.0,1514.0,,,,,,,,,,C,0.9
AUTOMOTIVE,2013-01-28,1807.0,27.5,0.0,0.0,7.0,Quito,Pichincha,D,8.481481481481481,1.0,2013,1,1,5,1517.0,1511.0,1287.0,,1457.25,113.5264286410878,,,,,,C,0.9
AUTOMOTIVE,2013-02-04,1940.0,27.5,0.0,0.0,7.0,Quito,Pichincha,D,8.481481481481481,1.0,2013,2,1,6,1807.0,1517.0,1514.0,,1587.25,146.52047638470196,,,,,,C,0.9
AUTOMOTIVE,2013-02-11,1794.0,27.5,0.0,0.0,7.0,Quito,Pichincha,D,8.481481481481481,1.0,2013,2,1,7,1940.0,1807.0,1511.0,,1693.75,214.555936762421,,,,,,C,0.9
AUTOMOTIVE,2013-02-18,1668.0,27.5,0.0,0.0,7.0,Quito,Pichincha,D,8.481481481481481,1.0,2013,2,1,8,1794.0,1940.0,1517.0,,1764.5,177.7010598355189,,,,,,C,0.9
AUTOMOTIVE,2013-02-25,1673.0,27.5,0.0,0.0,7.0,Quito,Pichincha,D,8.481481481481481,1.0,2013,2,1,9,1668.0,1794.0,1807.0,1287.0,1802.25,111.1886534978577,1629.75,211.7287685426131,,,0.12991487562048362,C,0.9
AUTOMOTIVE,2013-03-04,1520.0,27.5,0.0,0.0,7.0,Quito,Pichincha,D,8.481481481481481,1.0,2013,3,1,10,1673.0,1668.0,1940.0,1514.0,1768.75,128.17013432673514,1678.0,160.16598533128953,,,0.09545052761096191,C,0.9
AUTOMOTIVE,2013-03-11,1596.0,27.5,0.0,0.0,7.0,Quito,Pichincha,D,8.481481481481481,1.0,2013,3,1,11,1520.0,1673.0,1794.0,1511.0,1663.75,112.1498253825361,1678.75,159.3000313873164,,,0.09489205145925332,C,0.9
AUTOMOTIVE,2013-03-18,1768.0,27.5,0.0,0.0,7.0,Quito,Pichincha,D,8.481481481481481,1.0,2013,3,1,12,1596.0,1520.0,1668.0,1517.0,1614.25,72.01099453092795,1689.375,149.0157589940454,,,0.08820762648550926,C,0.9
AUTOMOTIVE,2013-03-25,1817.0,27.5,0.0,0.0,7.0,Quito,Pichincha,D,8.481481481481481,1.0,2013,3,1,13,1768.0,1596.0,1673.0,1807.0,1639.25,106.1551537451982,1720.75,133.11300247748684,1632.9166666666667,177.82803661419817,0.07735754902072323,C,0.9
AUTOMOTIVE,2013-04-01,1765.0,27.5,0.0,0.0,7.0,Quito,Pichincha,D,8.481481481481481,1.0,2013,4,2,14,1817.0,1768.0,1520.0,1940.0,1675.25,140.33145287734558,1722.0,134.08206442324789,1677.0833333333333,147.30022423813904,0.07786414891008712,C,0.9
AUTOMOTIVE,2013-04-08,1686.0,27.5,0.0,0.0,7.0,Quito,Pichincha,D,8.481481481481481,1.0,2013,4,2,15,1765.0,1817.0,1596.0,1794.0,1736.5,96.6522977826532,1700.125,104.43239439943908,1698.0,139.65997669665092,0.061426303594957814,C,0.9
AUTOMOTIVE,2013-04-15,1811.0,27.5,0.0,0.0,7.0,Quito,Pichincha,D,8.481481481481481,1.0,2013,4,2,16,1686.0,1765.0,1768.0,1668.0,1759.0,54.19102016632157,1686.625,97.3006203180931,1712.5833333333333,126.91332642493617,0.05768953994992094,C,0.9
AUTOMOTIVE,2013-04-22,1761.0,27.5,0.0,0.0,7.0,Quito,Pichincha,D,8.481481481481481,1.0,2013,4,2,17,1811.0,1686.0,1817.0,1673.0,1769.75,60.47244551584359,1704.5,106.12526291402733,1737.0833333333333,113.38066079549998,0.06226181455791439,C,0.9
AUTOMOTIVE,2013-04-29,2046.0,27.5,0.0,0.0,7.0,Quito,Pichincha,D,8.481481481481481,1.0,2013,4,2,18,1761.0,1811.0,1765.0,1520.0,1755.75,51.73892796209322,1715.5,106.95125725568366,1733.25,111.56500347331139,0.06234407301406081,C,0.9
AUTOMOTIVE,2013-05-06,1812.0,27.5,0.0,0.0,7.0,Quito,Pichincha,D,8.481481481481481,1.0,2013,5,2,19,2046.0,1761.0,1686.0,1596.0,1826.0,155.40270267920053,1781.25,129.00470644792108,1742.0833333333333,131.78664460775101,0.07242369484791504,C,0.9
AUTOMOTIVE,2013-05-13,2079.0,27.5,0.0,0.0,7.0,Quito,Pichincha,D,8.481481481481481,1.0,2013,5,2,20,1812.0,2046.0,1811.0,1768.0,1857.5,127.90230646864816,1808.25,105.07922181450935,1743.5833333333333,132.53161429590588,0.05811100335376814,C,0.9
AUTOMOTIVE,2013-05-20,2224.0,27.5,0.0,0.0,7.0,Quito,Pichincha,D,8.481481481481481,1.0,2013,5,2,21,2079.0,1812.0,1761.0,1817.0,1924.5,161.26685958373469,1847.125,139.8401510909612,1777.8333333333333,161.2241992513605,0.07570692351134087,C,0.9
AUTOMOTIVE,2013-05-27,2110.0,27.5,0.0,0.0,7.0,Quito,Pichincha,D,8.481481481481481,1.0,2013,5,2,22,2224.0,2079.0,2046.0,1765.0,2040.25,170.6817213412145,1898.0,191.72450473083956,1823.75,201.96765042496725,0.10101396455781798,C,0.9
AUTOMOTIVE,2013-06-03,1953.0,27.5,0.0,0.0,7.0,Quito,Pichincha,D,8.481481481481481,1.0,2013,6,2,23,2110.0,2224.0,1812.0,1686.0,2056.25,174.36049820224,1941.125,196.28145789729024,1872.9166666666667,192.91234860014586,0.10111737157431341,C,0.9
AUTOMOTIVE,2013-06-10,1792.0,27.5,0.0,0.0,7.0,Quito,Pichincha,D,8.481481481481481,1.0,2013,6,2,24,1953.0,2110.0,2079.0,1811.0,2091.5,111.41065179476037,1974.5,167.25771389428607,1902.6666666666667,172.80484701395133,0.08470889536297865,C,0.9
AUTOMOTIVE,2013-06-17,1932.0,27.5,0.0,0.0,7.0,Quito,Pichincha,D,8.481481481481481,1.0,2013,6,2,25,1792.0,1953.0,2224.0,1761.0,2019.75,188.1389114457719,1972.125,170.02305515933503,1904.6666666666667,171.236324382062,0.08621312298117453,C,0.9
AUTOMOTIVE,2013-06-24,1859.0,27.5,0.0,0.0,7.0,Quito,Pichincha,D,8.481481481481481,1.0,2013,6,2,26,1932.0,1792.0,2110.0,2046.0,1946.75,130.1982462759516,1993.5,149.15763473587262,1914.25,169.0885324857419,0.0748219888316016,C,0.9
AUTOMOTIVE,2013-07-01,1887.0,27.5,0.0,0.0,7.0,Quito,Pichincha,D,8.481481481481481,1.0,2013,7,3,27,1859.0,1932.0,1953.0,1812.0,1884.0,73.38028799798123,1970.125,154.31825880303342,1922.0833333333333,163.63510310962297,0.0783291713992539,C,0.9
