week_start,sku,demand,shipped,unmet,on_hand,backlog,arrivals,on_order,inventory_position,rop,S,service_level_target,order_qty,order_placed
2012-12-31,AUTOMOTIVE,1544.4,1544.4,0.0,6709.15041322314,0.0,0.0,0.0,6709.15041322314,9477.480708595162,44004.54340628893,0.9,37295.39299306579,1
2013-01-07,AUTOMOTIVE,1816.8,1816.8,0.0,4892.35041322314,0.0,0.0,37295.39299306579,42187.74340628893,9477.480708595162,44004.54340628893,0.9,0.0,0
2013-01-14,AUTOMOTIVE,1813.2,1813.2,0.0,3079.1504132231403,0.0,0.0,37295.39299306579,40374.54340628893,9477.480708595162,44004.54340628893,0.9,0.0,0
2013-01-21,AUTOMOTIVE,1820.4,1820.4,0.0,38554.14340628893,0.0,37295.39299306579,0.0,38554.14340628893,9477.480708595162,44004.54340628893,0.9,0.0,0
2013-01-28,AUTOMOTIVE,2168.4,2168.4,0.0,36385.74340628893,0.0,0.0,0.0,36385.74340628893,9477.480708595162,44004.54340628893,0.9,0.0,0
2013-02-04,AUTOMOTIVE,2328.0,2328.0,0.0,34057.74340628893,0.0,0.0,0.0,34057.74340628893,9477.480708595162,44004.54340628893,0.9,0.0,0
2013-02-11,AUTOMOTIVE,2152.8,2152.8,0.0,31904.94340628893,0.0,0.0,0.0,31904.94340628893,9477.480708595162,44004.54340628893,0.9,0.0,0
2013-02-18,AUTOMOTIVE,2001.6,2001.6,0.0,29903.343406288932,0.0,0.0,0.0,29903.343406288932,9477.480708595162,44004.54340628893,0.9,0.0,0
2013-02-25,AUTOMOTIVE,2007.6,2007.6,0.0,27895.743406288933,0.0,0.0,0.0,27895.743406288933,9477.480708595162,44004.54340628893,0.9,0.0,0
2013-03-04,AUTOMOTIVE,1824.0,1824.0,0.0,26071.743406288933,0.0,0.0,0.0,26071.743406288933,9477.480708595162,44004.54340628893,0.9,0.0,0
2013-03-11,AUTOMOTIVE,1915.2,1915.2,0.0,24156.543406288933,0.0,0.0,0.0,24156.543406288933,9477.480708595162,44004.54340628893,0.9,0.0,0
2013-03-18,AUTOMOTIVE,2121.6,2121.6,0.0,22034.943406288934,0.0,0.0,0.0,22034.943406288934,9477.480708595162,44004.54340628893,0.9,0.0,0
2013-03-25,AUTOMOTIVE,2180.4,2180.4,0.0,19854.543406288933,0.0,0.0,0.0,19854.543406288933,9477.480708595162,44004.54340628893,0.9,0.0,0
2013-04-01,AUTOMOTIVE,2118.0,2118.0,0.0,17736.543406288933,0.0,0.0,0.0,17736.543406288933,9477.480708595162,44004.54340628893,0.9,0.0,0
2013-04-08,AUTOMOTIVE,2023.2,2023.2,0.0,15713.343406288932,0.0,0.0,0.0,15713.343406288932,9477.480708595162,44004.54340628893,0.9,0.0,0
2013-04-15,AUTOMOTIVE,2173.2,2173.2,0.0,13540.143406288931,0.0,0.0,0.0,13540.143406288931,9477.480708595162,44004.54340628893,0.9,0.0,0
2013-04-22,AUTOMOTIVE,2113.2,2113.2,0.0,11426.94340628893,0.0,0.0,0.0,11426.94340628893,9477.480708595162,44004.54340628893,0.9,0.0,0
2013-04-29,AUTOMOTIVE,2455.2,2455.2,0.0,8971.74340628893,0.0,0.0,0.0,8971.74340628893,9477.480708595162,44004.54340628893,0.9,35032.8,1
2013-05-06,AUTOMOTIVE,2174.4,2174.4,0.0,6797.34340628893,0.0,0.0,35032.8,41830.14340628893,9477.480708595162,44004.54340628893,0.9,0.0,0
2013-05-13,AUTOMOTIVE,2494.8,2494.8,0.0,4302.54340628893,0.0,0.0,35032.8,39335.343406288936,9477.480708595162,44004.54340628893,0.9,0.0,0
2013-05-20,AUTOMOTIVE,2668.8,2668.8,0.0,36666.54340628893,0.0,35032.8,0.0,36666.54340628893,9477.480708595162,44004.54340628893,0.9,0.0,0
2013-05-27,AUTOMOTIVE,2532.0,2532.0,0.0,34134.54340628893,0.0,0.0,0.0,34134.54340628893,9477.480708595162,44004.54340628893,0.9,0.0,0
2013-06-03,AUTOMOTIVE,2343.6,2343.6,0.0,31790.943406288934,0.0,0.0,0.0,31790.943406288934,9477.480708595162,44004.54340628893,0.9,0.0,0
2013-06-10,AUTOMOTIVE,2150.4,2150.4,0.0,29640.543406288933,0.0,0.0,0.0,29640.543406288933,9477.480708595162,44004.54340628893,0.9,0.0,0
2013-06-17,AUTOMOTIVE,2318.4,2318.4,0.0,27322.14340628893,0.0,0.0,0.0,27322.14340628893,9477.480708595162,44004.54340628893,0.9,0.0,0
2013-06-24,AUTOMOTIVE,2230.8,2230.8,0.0,25091.343406288932,0.0,0.0,0.0,25091.343406288932,9477.480708595162,44004.54340628893,0.9,0.0,0
2013-07-01,AUTOMOTIVE,2264.4,2264.4,0.0,22826.94340628893,0.0,0.0,0.0,22826.94340628893,9477.480708595162,44004.54340628893,0.9,0.0,0
2013-07-08,AUTOMOTIVE,2194.8,2194.8,0.0,20632.14340628893,0.0,0.0,0.0,20632.14340628893,9477.480708595162,44004.54340628893,0.9,0.0,0
2013-07-15,AUTOMOTIVE,2343.6,2343.6,0.0,18288.543406288933,0.0,0.0,0.0,18288.543406288933,9477.480708595162,44004.54340628893,0.9,0.0,0
2013-07-22,AUTOMOTIVE,2497.2,2497.2,0.0,15791.343406288932,0.0,0.0,0.0,15791.343406288932,9477.480708595162,44004.54340628893,0.9,0.0,0
2013-07-29,AUTOMOTIVE,2511.6,2511.6,0.0,13279.743406288932,0.0,0.0,0.0,13279.743406288932,9477.480708595162,44004.54340628893,0.9,0.0,0
2013-08-05,AUTOMOTIVE,2306.4,2306.4,0.0,10973.343406288932,0.0,0.0,0.0,10973.343406288932,9477.480708595162,44004.54340628893,0.9,0.0,0
2013-08-12,AUTOMOTIVE,2163.6,2163.6,0.0,8809.743406288932,0.0,0.0,0.0,8809.743406288932,9477.480708595162,44004.54340628893,0.9,35194.8,1
2013-08-19,AUTOMOTIVE,2107.2,2107.2,0.0,6702.543406288932,0.0,0.0,35194.8,41897.343406288936,9477.480708595162,44004.54340628893,0.9,0.0,0
2013-08-26,AUTOMOTIVE,2104.8,2104.8,0.0,4597.7434062889315,0.0,0.0,35194.8,39792.54340628893,9477.480708595162,44004.54340628893,0.9,0.0,0
2013-09-02,AUTOMOTIVE,2068.8,2068.8,0.0,37723.74340628893,0.0,35194.8,0.0,37723.74340628893,9477.480708595162,44004.54340628893,0.9,0.0,0
2013-09-09,AUTOMOTIVE,1882.8,1882.8,0.0,35840.94340628893,0.0,0.0,0.0,35840.94340628893,9477.480708595162,44004.54340628893,0.9,0.0,0
2013-09-16,AUTOMOTIVE,1851.6,1851.6,0.0,33989.34340628893,0.0,0.0,0.0,33989.34340628893,9477.480708595162,44004.54340628893,0.9,0.0,0
2013-09-23,AUTOMOTIVE,1894.8,1894.8,0.0,32094.54340628893,0.0,0.0,0.0,32094.54340628893,9477.480708595162,44004.54340628893,0.9,0.0,0
2013-09-30,AUTOMOTIVE,1941.6,1941.6,0.0,30152.94340628893,0.0,0.0,0.0,30152.94340628893,9477.480708595162,44004.54340628893,0.9,0.0,0
2013-10-07,AUTOMOTIVE,1824.0,1824.0,0.0,28328.94340628893,0.0,0.0,0.0,28328.94340628893,9477.480708595162,44004.54340628893,0.9,0.0,0
2013-10-14,AUTOMOTIVE,1868.4,1868.4,0.0,26460.54340628893,0.0,0.0,0.0,26460.54340628893,9477.480708595162,44004.54340628893,0.9,0.0,0
2013-10-21,AUTOMOTIVE,1875.6,1875.6,0.0,24584.94340628893,0.0,0.0,0.0,24584.94340628893,9477.480708595162,44004.54340628893,0.9,0.0,0
